date;WLA
2014-05-01;-0.108557099
2014-06-01;-0.186057099
2014-07-01;-0.274390432
2014-08-01;-0.399390432
2014-09-01;-0.491057099
2014-10-01;-0.486890432
2014-11-01;-0.248557099
2014-12-01;0.387276234
2015-01-01;0.501442901
2015-02-01;1.162276234
2015-03-01;-0.030223765
2015-04-01;1.114776234
2015-05-01;0.318109568
2015-06-01;-0.344390432
2015-07-01;-0.451890432
2015-08-01;-0.470223766
2015-09-01;-0.486890432
2015-10-01;-0.431057099
2015-11-01;-0.386057099
2015-12-01;0.132276235
2016-01-01;0.139776235
2016-02-01;0.919776235
2016-03-01;0.610609568
2016-04-01;0.457276234
2016-05-01;0.135609568
2016-06-01;0.531442901
2016-07-01;0.178109568
2016-08-01;0.027276234
2016-09-01;0.118942901
2016-10-01;0.760609568
2016-11-01;1.269776234
2016-12-01;0.893109568
2017-01-01;0.442276234
2017-02-01;0.815609568
2017-03-01;0.448942901
2017-04-01;0.847276234
2017-05-01;0.658942901
2017-06-01;0.402276235
2017-07-01;-0.281057099
2017-08-01;-0.396890432
2017-09-01;-0.471057099
2017-10-01;-0.367723765
2017-11-01;0.371442901
2017-12-01;1.788942901
2018-01-01;2.193942901
2018-02-01;2.001442901
2018-03-01;1.388109568
2018-04-01;1.117276234
2018-05-01;0.427276235
2018-06-01;0.321442901
2018-07-01;0.336442901
2018-08-01;0.235609568
2018-09-01;0.297276234
2018-10-01;0.184776234
2018-11-01;0.311442901
2018-12-01;0.483942901
2019-01-01;1.229776235
2019-02-01;1.246442901
2019-03-01;1.948109568
2019-04-01;1.086442901
2019-05-01;0.563942901
2019-06-01;0.256442901
2019-07-01;-0.255223766
2019-08-01;-0.290223766
2019-09-01;-0.348557099
2019-10-01;-0.463557099
2019-11-01;-0.383557099
2019-12-01;0.188109568
2020-01-01;0.462901234
2020-02-01;0.949567901
2020-03-01;1.233734568
2020-04-01;0.753942901
2020-05-01;0.401442901
2020-06-01;-0.166682099
2020-07-01;-0.292932099
2020-08-01;-0.226057099
2020-09-01;-0.263557099
2020-10-01;-0.162932099
2020-11-01;0.204567901
2020-12-01;0.883317901
2021-01-01;1.129359568
2021-02-01;1.492067901
2021-03-01;0.861859568
2021-04-01;0.709776234
2021-05-01;0.033526234
2021-06-01;0.297276234
2021-07-01;-0.068557099
2021-08-01;-0.013557099
2021-09-01;-0.127723766
2021-10-01;-0.225223766
2021-11-01;1.093942901
2021-12-01;0.659776234
2022-01-01;0.758942901
2022-02-01;0.824776234
2022-03-01;0.978109568
2022-04-01;0.570609568
2022-05-01;0.434776234
2022-06-01;0.549776234
2022-07-01;0.148942901
2022-08-01;0.134776234
2022-09-01;-0.051890432
2022-10-01;0.477276234
2022-11-01;1.091442901
2022-12-01;1.101442901
